Origin,Destn,areabrkup,Jul-15 to Aug08,May edge,Var
AMCH,BLRH,"{""ixca-blraexnktk"":11.11,""ixca-cbea"":0.69,""ixca-coka"":2.1,""ixca-ixma"":1.68}",15.58,14.02,1.56
KNPH,CCUH,"{""eastukna-ccua"":0.25,""eastukna-guaa"":0.07,""eastup-ccua"":0.28,""eastup-guaa"":0.09,""ixca-ccua"":6.88,""ixca-guaa"":1.49,""ncrup-ccua"":4.29,""ncrup-guaa"":0.81,""westup-ccua"":1.32,""westup-guaa"":0.03}",15.51,13.95,1.56
MAAH,IDRH,"{""maaa-amda"":6.62,""maaa-cgsa"":2.11,""maaa-idra"":2.83,""maaa-naga"":0.84}",12.4,10.85,1.55
CCUH,BOMH,"{""ccua-boma"":4.34,""ccua-idra"":1.13,""ccua-sguj"":0.53}",6,4.45,1.55
KNPH,GZBH,"{""amda-eastukna"":0.39,""apda-eastukna"":0.24,""blraexnktk-eastukna"":0.42,""boma-eastukna"":0.31,""ccua-eastukna"":0.01,""ccua-ncrup"":1.17,""coka-eastukna"":0.01,""eastup-eastukna"":0.28,""eastup-ncrup"":1.5,""goia-eastukna"":0.01,""guaa-ncrup"":0.08,""hyda-eastukna"":0.07,""ixub-eastukna"":0.02,""jspa-eastukna"":0.29,""jspa-ncrup"":0.02,""naga-eastukna"":0.03,""orsa-eastukna"":0.12,""orsa-ncrup"":0.21,""path-ncrup"":0.11,""pnqa-eastukna"":0.76,""sguj-eastukna"":0.19,""snra-eastukna"":0.09}",6.33,4.78,1.55
BBIH,BRGH,"{""apda-jspa"":0.21,""apda-path"":0.07,""blraexnktk-jspa"":0.91,""blraexnktk-path"":0.57,""cbea-jspa"":1.84,""cbea-path"":0.04,""coka-jspa"":0,""coka-path"":0.07,""hyda-jspa"":1.08,""hyda-path"":0.43,""ixma-jspa"":0.01,""ixma-path"":0,""maaa-jspa"":1.26,""maaa-path"":0.67,""nktk-jspa"":0.01,""orsa-eastukna"":0.12,""orsa-eastup"":0.03,""orsa-ixca"":0.03,""orsa-jaia"":0.02,""orsa-jspa"":0.08,""orsa-ncrnonup"":0.21,""orsa-ncrup"":0.21,""orsa-path"":0.2,""orsa-sjaia"":0.01,""tirb-path"":0}",8.08,6.53,1.55
AGRB,IDRH,"{""westup-amda"":0.38,""westup-apda"":0.17,""westup-blraexnktk"":3.48,""westup-boma"":2.43,""westup-cbea"":1.79,""westup-cgsa"":0.09,""westup-coka"":0.66,""westup-goia"":0.09,""westup-hyda"":0.9,""westup-idra"":0.18,""westup-ixma"":0.16,""westup-ixub"":0.05,""westup-maaa"":0.79,""westup-naga"":0.14,""westup-pnqa"":0.66,""westup-sguj"":0.16,""westup-snra"":0.06,""westup-tirb"":0}",12.19,10.65,1.54
CCUH,BRGH,"{""ccua-jspa"":2.68,""ccua-path"":4.19,""guaa-jspa"":0.08,""guaa-path"":0.28}",7.23,5.72,1.51
RPRH,BRGH,"{""amda-jspa"":0.57,""boma-jspa"":3.35,""cgsa-jspa"":0.12,""cgsa-path"":0.04,""goia-jspa"":0.33,""idra-jspa"":0.06,""ixub-jspa"":0.04,""ixub-path"":0.19,""naga-jspa"":0.05,""naga-path"":0.21,""pnqa-jspa"":4.04,""sguj-jspa"":0.76,""snra-jspa"":0.24}",10,8.51,1.49
HYDH,BOMH,"{""apda-boma"":3.95,""apda-sguj"":0.07,""hyda-boma"":3.05,""hyda-sguj"":0.66,""tirb-boma"":0.41,""tirb-sguj"":0.06}",8.2,6.75,1.45
